instance,dimension,run,best_known,greedy_cost,greedy_time_s,greedy_gap_pct,meta_cost,meta_time_s,meta_gap_pct,gain_pct
kroA100,100,2,21282,27807,0.000811,30.6597,21572,2.11686,1.3627,22.4224
kroA100,100,3,21282,27807,0.000811,30.6597,21807,2.027546,2.4669,21.5773
kroA100,100,4,21282,27807,0.000811,30.6597,21629,2.443114,1.6305,22.2174
kroA100,100,5,21282,27807,0.000811,30.6597,21807,2.163371,2.4669,21.5773
kroB100,100,1,22141,29158,0.001288,31.6923,22959,2.332598,3.6945,21.26
kroB100,100,2,22141,29158,0.001288,31.6923,23326,2.25018,5.3521,20.0014
kroB100,100,3,22141,29158,0.001288,31.6923,23221,2.093734,4.8778,20.3615
kroB100,100,4,22141,29158,0.001288,31.6923,23388,1.981109,5.6321,19.7887
kroB100,100,5,22141,29158,0.001288,31.6923,23386,2.052789,5.6231,19.7956
lin105,105,1,14379,20356,0.001427,41.5676,15215,2.347548,5.814,25.2555
lin105,105,2,14379,20356,0.001427,41.5676,15033,2.252318,4.5483,26.1495
lin105,105,3,14379,20356,0.001427,41.5676,14736,2.298326,2.4828,27.6086
lin105,105,4,14379,20356,0.001427,41.5676,15183,2.337192,5.5915,25.4127
lin105,105,5,14379,20356,0.001427,41.5676,15069,2.586097,4.7987,25.9727
pr76,76,1,108159,153462,0.000471,41.8856,117462,1.167716,8.6012,23.4586
pr76,76,2,108159,153462,0.000471,41.8856,119257,1.066386,10.2608,22.2889
pr76,76,3,108159,153462,0.000471,41.8856,118872,1.604262,9.9049,22.5398
pr76,76,4,108159,153462,0.000471,41.8856,114466,1.843374,5.8312,25.4109
pr76,76,5,108159,153462,0.000471,41.8856,113116,1.062032,4.5831,26.2905
rat99,99,1,1211,1554,0.001391,28.3237,1278,1.840998,5.5326,17.7606
rat99,99,2,1211,1554,0.001391,28.3237,1270,2.029893,4.872,18.2754
rat99,99,3,1211,1554,0.001391,28.3237,1273,2.106596,5.1197,18.0824
rat99,99,4,1211,1554,0.001391,28.3237,1312,2.121937,8.3402,15.5727
rat99,99,5,1211,1554,0.001391,28.3237,1275,1.820154,5.2849,17.9537
rd100,100,1,7910,9938,0.001316,25.6384,8358,2.28741,5.6637,15.8986
rd100,100,2,7910,9938,0.001316,25.6384,8396,2.880821,6.1441,15.5162
rd100,100,3,7910,9938,0.001316,25.6384,8606,2.805235,8.799,13.4031
rd100,100,4,7910,9938,0.001316,25.6384,8812,2.15415,11.4033,11.3302
rd100,100,5,7910,9938,0.001316,25.6384,8441,2.75666,6.713,15.0634
st70,70,1,675,830,0.000651,22.963,732,0.971793,8.4444,11.8072
st70,70,2,675,830,0.000651,22.963,710,1.003006,5.1852,14.4578
st70,70,3,675,830,0.000651,22.963,728,1.034385,7.8519,12.2892
st70,70,4,675,830,0.000651,22.963,726,0.990057,7.5556,12.5301
st70,70,5,675,830,0.000651,22.963,728,1.073014,7.8519,12.2892
