generation,best_cost
0,27384
1,27384
2,26930
3,26930
4,26761
5,26761
6,26367
7,26356
8,25722
9,25722
10,25704
11,25704
12,25704
13,25704
14,25704
15,25704
16,25704
17,25704
18,25704
19,25704
20,25704
21,25704
22,25704
23,25704
24,25704
25,25704
26,25704
27,25704
28,25704
29,25704
30,25704
31,25704
32,25704
33,25704
34,25704
35,25704
36,25704
37,25704
38,25704
39,25704
40,25704
41,25704
42,25704
43,25704
44,25704
45,25704
46,25704
47,25704
48,25704
49,25704
50,25704
51,25704
52,25704
53,25704
54,25704
55,25704
56,25704
57,25704
58,25704
59,25704
60,25704
61,25704
62,25704
63,25704
64,25704
65,25704
66,25704
67,25704
68,25704
69,25704
70,25704
71,25704
72,25704
73,25704
74,25704
75,25704
76,25704
77,25704
78,25704
79,25704
80,25704
81,25704
82,25704
83,25704
84,25704
85,25704
86,25704
87,25704
88,25704
89,25704
90,25704
