generation,best_cost
0,24698
1,24698
2,24698
3,24698
4,24315
5,24315
6,24255
7,24230
8,23922
9,23396
10,23062
11,22806
12,22769
13,22769
14,22237
15,22043
16,21807
17,21807
18,21807
19,21807
20,21807
21,21807
22,21807
23,21807
24,21807
25,21807
26,21807
27,21807
28,21807
29,21807
30,21807
31,21807
32,21807
33,21807
34,21807
35,21807
36,21807
37,21807
38,21807
39,21807
40,21807
41,21807
42,21807
43,21807
44,21807
45,21807
46,21807
47,21807
48,21807
49,21807
50,21807
51,21807
52,21807
53,21807
54,21807
55,21807
56,21807
57,21807
58,21807
59,21807
60,21807
61,21807
62,21807
63,21807
64,21807
65,21807
66,21807
67,21807
68,21807
69,21807
70,21807
71,21807
72,21807
73,21807
74,21807
75,21807
76,21807
77,21807
78,21807
79,21807
80,21807
81,21807
82,21807
83,21807
84,21807
85,21807
86,21807
87,21807
88,21807
89,21807
90,21807
