generation,best_cost
0,1983
1,1969
2,1905
3,1898
4,1888
5,1860
6,1832
7,1832
8,1817
9,1817
10,1817
11,1817
12,1817
13,1817
14,1817
15,1817
16,1817
17,1817
18,1817
19,1817
20,1817
21,1817
22,1817
23,1817
24,1817
25,1817
26,1817
27,1817
28,1817
29,1817
30,1804
31,1804
32,1740
33,1729
34,1722
35,1660
36,1654
37,1654
38,1646
39,1646
40,1646
41,1646
42,1646
43,1646
44,1646
45,1646
46,1646
47,1646
48,1646
49,1646
50,1646
51,1646
52,1646
53,1646
54,1646
55,1646
56,1646
57,1646
58,1646
59,1646
60,1646
61,1646
62,1646
63,1646
64,1646
65,1646
66,1646
67,1646
68,1646
69,1646
70,1646
71,1646
72,1646
73,1646
74,1646
75,1646
76,1633
77,1633
78,1626
79,1626
80,1626
81,1626
82,1626
83,1626
84,1626
85,1626
86,1626
87,1626
88,1626
89,1626
90,1626
